科目番号／科目名,単位／年次,学期／時期,教室,担当,実施形態,概要,備考
"2103133
基礎体育インラインスケート(秋)
シラバスシラバス（ミラー）","0.5単位
1年次","秋AB
火3",共通体育実習棟,河合 季信,対面,インラインスケートによる運動を通して、仲間と共にスポーツを楽しむための基礎を学ぶと共に、体力の維持・向上を目指す。,I G科目. 実務経験教員. 対面
"2103143
基礎体育インラインスケート(春)
シラバスシラバス（ミラー）","0.5単位
1年次","春AB
金1",共通体育実習棟,河合 季信,対面,インラインスケートによる運動を通して、仲間と共にスポーツを楽しむための基礎を学ぶと共に、体力の維持・向上を目指す。,I G科目. 実務経験教員. 対面
"2103153
基礎体育インラインスケート(秋)
シラバスシラバス（ミラー）","0.5単位
1年次","秋AB
金1",共通体育実習棟,河合 季信,対面,インラインスケートによる運動を通して、仲間と共にスポーツを楽しむための基礎を学ぶと共に、体力の維持・向上を目指す。,I G科目. 実務経験教員. 対面
"2107163
基礎体育空手(春)
シラバスシラバス（ミラー）","0.5単位
1年次","春AB
木1",第1多目的道場,麓 正樹,対面,空手道の基本的な技術の実践を通じて、自らの身体と心、他者の身体と心、そしてその関連について理解を深める。基本技術と呼吸法、フットワークと基本技術の協調および形ができるようになる。,男女別要素(接触). G科目. 実務経験教員. 対面 mfumoto@tiu.ac.jp 単位認定の対象は、原則として当該授業科目の出席時間数が3分の2以上の者とする。
"2107173
基礎体育空手(秋)
シラバスシラバス（ミラー）","0.5単位
1年次","秋AB
木1",第1多目的道場,麓 正樹,対面,空手道の基本的な技術の実践を通じて、自らの身体と心、他者の身体と心、そしてその関連について理解を深める。基本技術と呼吸法、フットワークと基本技術の協調および形ができるようになる。,男女別要素(接触). G科目. 実務経験教員. 対面 mfumoto@tiu.ac.jp 単位認定の対象は、原則として当該授業科目の出席時間数が3分の2以上の者とする。 短期留学生が受講を希望する際は、原則初回授業の3日前までに授業担当教員に連絡し受講許可を得る事
"2108143
基礎体育器械運動(春)
シラバスシラバス（ミラー）","0.5単位
1年次","春AB
火3",体操競技場,金谷 麻理子,対面,器械運動ならびに体操競技の種目を用いて、「自分を感じる」をテーマに、各自の能力にあった技能の習得と運動の理解を目指す。,I 男女別要素(接触). 男女別要素(特別ルール・ペア/チーム分け). G科目. 対面
"2108153
基礎体育器械運動(秋)
シラバスシラバス（ミラー）","0.5単位
1年次","秋AB
火3",体操競技場,金谷 麻理子,対面,器械運動ならびに体操競技の種目を用いて、「自分を感じる」をテーマに、各自の能力にあった技能の習得と運動の理解を目指す。,I 男女別要素(接触). 男女別要素(特別ルール・ペア/チーム分け). G科目. 対面
"2108163
基礎体育器械運動(春)
シラバスシラバス（ミラー）","0.5単位
1年次","春AB
金1",体操競技場,金谷 麻理子,対面,器械運動ならびに体操競技の種目を用いて、「自分を感じる」をテーマに、各自の能力にあった技能の習得と運動の理解を目指す。,I 男女別要素(接触). 男女別要素(特別ルール・ペア/チーム分け). G科目. 対面
"2108173
基礎体育器械運動(秋)
シラバスシラバス（ミラー）","0.5単位
1年次","秋AB
金1",体操競技場,金谷 麻理子,対面,器械運動ならびに体操競技の種目を用いて、「自分を感じる」をテーマに、各自の能力にあった技能の習得と運動の理解を目指す。,I 男女別要素(接触). 男女別要素(特別ルール・ペア/チーム分け). G科目. 対面
"2110123
基礎体育弓道(春)
シラバスシラバス（ミラー）","0.5単位
1年次","春AB
木1",弓道場,松尾 牧則,対面,本授業では弓道の基礎となる射法八節を学ぶ。近距離および中間距離における発射練習を通じて、安全で合理的な技法を学習する。また、簡易試合により試合の進め方についても学習する。,I 男女別要素(用具). G科目. 実務経験教員. 対面
"2110133
基礎体育弓道(秋)
シラバスシラバス（ミラー）","0.5単位
1年次","秋AB
木1",弓道場,松尾 牧則,対面,本授業では弓道の基礎となる射法八節を学ぶ。近距離および中間距離における発射練習を通じて、安全で合理的な技法を学習する。また、簡易試合により試合の進め方についても学習する。,I 男女別要素(用具). G科目. 実務経験教員. 対面
"2111123
基礎体育剣道(春)
シラバスシラバス（ミラー）","0.5単位
1年次","春AB
火3",剣道場,鍋山 隆弘,対面,剣道の基礎的技術、礼儀作法の習得を通して心身の向上を目指す。また、剣道の特性に関する知識を高め、健康・体力つくりにつなげてゆく。,I 男女別要素(用具). 男女別要素(接触). G科目. 実務経験教員. 対面
